,stemMin,stemMax,numberOfStemPeers,stemReductionMin,stemReductionMax,hops_mean,hops_median,hops_stdd,hops_min,hops_max,starting_stem_mean,starting_stem_median,starting_stem_stdd,starting_stem_min,starting_stem_max
63,1,3,2,0.4,1.9,1.5895,1.0,0.6902099318323375,1,5,1.9983,2.0,0.8161477255987424,1,3
64,1,3,2,0.5,0.5,2.6659,3.0,1.4342514389046295,1,11,2.0006,2.0,0.8179239817978197,1,3
65,1,3,2,0.5,0.6,2.5309,2.0,1.3095973388793978,1,9,2.0113,2.0,0.8185183626529096,1,3
66,1,3,2,0.5,0.7,2.4221,2.0,1.2086072935407928,1,8,1.9981,2.0,0.8125862354236627,1,3
67,1,3,2,0.5,0.8,2.3489,2.0,1.165748167487301,1,9,1.9943,2.0,0.8174763054670148,1,3
68,1,3,2,0.5,0.9,2.288,2.0,1.102658605371581,1,8,1.9981,2.0,0.8199368207368177,1,3
69,1,3,2,0.5,1.0,2.2503,2.0,1.059929200465767,1,9,2.0025,2.0,0.8177369687130454,1,3
70,1,3,2,0.5,1.1,2.0681,2.0,0.9759417964202579,1,7,2.0034,2.0,0.81534559543791,1,3
71,1,3,2,0.5,1.2000000000000002,1.9593,2.0,0.9341539005966844,1,7,2.0051,2.0,0.8216288639038918,1,3
72,1,3,2,0.5,1.3,1.8375,2.0,0.863303973117233,1,7,1.9883,2.0,0.8142254663175306,1,3
73,1,3,2,0.5,1.4,1.7592,2.0,0.8126594366645847,1,6,1.9861,2.0,0.8144364861669693,1,3
74,1,3,2,0.5,1.5,1.7096,2.0,0.7613592056316125,1,7,2.0076,2.0,0.816052841426338,1,3
75,1,3,2,0.5,1.6,1.6676,2.0,0.7468,1,6,1.994,2.0,0.8161887036709097,1,3
76,1,3,2,0.5,1.7000000000000002,1.6287,2.0,0.7141682644867384,1,6,1.9909,2.0,0.8142586751149785,1,3
77,1,3,2,0.5,1.8,1.5862,1.0,0.6779155994664823,1,5,1.9991,2.0,0.8174956819457825,1,3
78,1,3,2,0.5,1.9000000000000001,1.5714,1.0,0.664606680676624,1,5,2.0151,2.0,0.8188235402087558,1,3
